maze_id	subject_ID	session
1	m2	0
1	m2	1
1	m2	2
1	m2	3
1	m2	4
1	m2	5
1	m2	6
1	m2	7
1	m2	8
1	m2	9
1	m2	10
1	m2	11
1	m2	12
1	m3	0
1	m3	1
1	m3	2
1	m3	3
1	m3	4
1	m3	5
1	m3	6
1	m3	7
1	m3	8
1	m3	9
1	m3	10
1	m3	11
1	m3	12
1	m4	0
1	m4	1
1	m4	2
1	m4	3
1	m4	4
1	m4	5
1	m4	6
1	m4	7
1	m4	8
1	m4	9
1	m4	10
1	m4	11
1	m4	12
1	m6	0
1	m6	1
1	m6	2
1	m6	3
1	m6	4
1	m6	5
1	m6	6
1	m6	7
1	m6	8
1	m6	9
1	m6	10
1	m6	11
1	m6	12
1	m7	0
1	m7	1
1	m7	2
1	m7	3
1	m7	4
1	m7	5
1	m7	6
1	m7	7
1	m7	8
1	m7	9
1	m7	10
1	m7	11
1	m7	12
1	m8	0
1	m8	1
1	m8	2
1	m8	3
1	m8	4
1	m8	5
1	m8	6
1	m8	7
1	m8	8
1	m8	9
1	m8	10
1	m8	11
1	m8	12
2	m2	0
2	m2	1
2	m2	2
2	m2	3
2	m2	4
2	m2	5
2	m2	6
2	m2	7
2	m2	8
2	m2	9
2	m2	10
2	m2	11
2	m2	12
2	m3	0
2	m3	1
2	m3	2
2	m3	3
2	m3	4
2	m3	5
2	m3	6
2	m3	7
2	m3	8
2	m3	9
2	m3	10
2	m3	11
2	m3	12
2	m4	0
2	m4	1
2	m4	2
2	m4	3
2	m4	4
2	m4	5
2	m4	6
2	m4	7
2	m4	8
2	m4	9
2	m4	10
2	m4	11
2	m4	12
2	m6	0
2	m6	1
2	m6	2
2	m6	3
2	m6	4
2	m6	5
2	m6	6
2	m6	7
2	m6	8
2	m6	9
2	m6	10
2	m6	11
2	m6	12
2	m7	0
2	m7	1
2	m7	2
2	m7	3
2	m7	4
2	m7	5
2	m7	6
2	m7	7
2	m7	8
2	m7	9
2	m7	10
2	m7	11
2	m7	12
2	m8	0
2	m8	1
2	m8	2
2	m8	3
2	m8	4
2	m8	5
2	m8	6
2	m8	7
2	m8	8
2	m8	9
2	m8	10
2	m8	11
2	m8	12
3	m2	0
3	m2	1
3	m2	2
3	m2	3
3	m2	4
3	m2	5
3	m2	6
3	m2	7
3	m2	8
3	m2	9
3	m2	10
3	m2	11
3	m2	12
3	m3	0
3	m3	1
3	m3	2
3	m3	3
3	m3	4
3	m3	5
3	m3	6
3	m3	7
3	m3	8
3	m3	9
3	m3	10
3	m3	11
3	m3	12
3	m4	0
3	m4	1
3	m4	2
3	m4	3
3	m4	4
3	m4	5
3	m4	6
3	m4	7
3	m4	8
3	m4	9
3	m4	10
3	m4	11
3	m4	12
3	m6	0
3	m6	1
3	m6	2
3	m6	3
3	m6	4
3	m6	5
3	m6	6
3	m6	7
3	m6	8
3	m6	9
3	m6	10
3	m6	11
3	m6	12
3	m7	0
3	m7	1
3	m7	2
3	m7	3
3	m7	4
3	m7	5
3	m7	6
3	m7	7
3	m7	8
3	m7	9
3	m7	10
3	m7	11
3	m7	12
3	m8	0
3	m8	1
3	m8	2
3	m8	3
3	m8	4
3	m8	5
3	m8	6
3	m8	7
3	m8	8
3	m8	9
3	m8	10
3	m8	11
3	m8	12
