,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m4.2022-07-17.maze_cluster0,m4.2022-07-17.maze_cluster1,m4.2022-07-17.maze_cluster2,m4.2022-07-17.maze_cluster3,m4.2022-07-17.maze_cluster4,m4.2022-07-17.maze_cluster5,m4.2022-07-17.maze_cluster6,m4.2022-07-17.maze_cluster7,m4.2022-07-17.maze_cluster8,m4.2022-07-17.maze_cluster9,m4.2022-07-17.maze_cluster10,m4.2022-07-17.maze_cluster11,m4.2022-07-17.maze_cluster12,m4.2022-07-17.maze_cluster13,m4.2022-07-17.maze_cluster14,m4.2022-07-17.maze_cluster15,m4.2022-07-17.maze_cluster16,m4.2022-07-17.maze_cluster17,m4.2022-07-17.maze_cluster18,m4.2022-07-17.maze_cluster19,m4.2022-07-17.maze_cluster20,m4.2022-07-17.maze_cluster21,m4.2022-07-17.maze_cluster22,m4.2022-07-17.maze_cluster23,m4.2022-07-17.maze_cluster24,m4.2022-07-17.maze_cluster25,m4.2022-07-17.maze_cluster26,m4.2022-07-17.maze_cluster27,m4.2022-07-17.maze_cluster28,m4.2022-07-17.maze_cluster29,m4.2022-07-17.maze_cluster30,m4.2022-07-17.maze_cluster31,m4.2022-07-17.maze_cluster32,m4.2022-07-17.maze_cluster33,m4.2022-07-17.maze_cluster34,m4.2022-07-17.maze_cluster35,m4.2022-07-17.maze_cluster36,m4.2022-07-17.maze_cluster37,m4.2022-07-17.maze_cluster38,m4.2022-07-17.maze_cluster39,m4.2022-07-17.maze_cluster40,m4.2022-07-17.maze_cluster41,m4.2022-07-17.maze_cluster42,m4.2022-07-17.maze_cluster43,m4.2022-07-17.maze_cluster44,m4.2022-07-17.maze_cluster45,m4.2022-07-17.maze_cluster46,m4.2022-07-17.maze_cluster47,m4.2022-07-17.maze_cluster48,m4.2022-07-17.maze_cluster49,m4.2022-07-17.maze_cluster50,m4.2022-07-17.maze_cluster51,m4.2022-07-17.maze_cluster52,m4.2022-07-17.maze_cluster53,m4.2022-07-17.maze_cluster54,m4.2022-07-17.maze_cluster56,m4.2022-07-17.maze_cluster57,m4.2022-07-17.maze_cluster58,m4.2022-07-17.maze_cluster59,m4.2022-07-17.maze_cluster60,m4.2022-07-17.maze_cluster61,m4.2022-07-17.maze_cluster62,m4.2022-07-17.maze_cluster63,m4.2022-07-17.maze_cluster64,m4.2022-07-17.maze_cluster65,m4.2022-07-17.maze_cluster66,m4.2022-07-17.maze_cluster67,m4.2022-07-17.maze_cluster68,m4.2022-07-17.maze_cluster69,m4.2022-07-17.maze_cluster70,m4.2022-07-17.maze_cluster71,m4.2022-07-17.maze_cluster72,m4.2022-07-17.maze_cluster73,m4.2022-07-17.maze_cluster74,m4.2022-07-17.maze_cluster75,m4.2022-07-17.maze_cluster76,m4.2022-07-17.maze_cluster77,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m4.2022-07-17.maze_trial1,0.0,4.253595061728395,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.25925925925925924,0.5555555555555556,0.2962962962962963,0.14814814814814814,0.5185185185185185,0.0,0.07407407407407407,0.0,0.0,0.2222222222222222,0.0,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.037037037037037035,0.37037037037037035,0.2962962962962963,0.5555555555555556,0.07407407407407407,0.18518518518518517,0.0,0.0,0.5925925925925926,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.25925925925925924,0.14814814814814814,0.1111111111111111,0.0,0.07407407407407407,0.14814814814814814,0.0,0.0,0.0,1.7475744962901019,0.5426126907116635,7.845428460751617,0.6495057319336458,1.2206365295600858,0.4556589365139843,196.19739428143015,0.000490187,0.00047823598,0.962815,0.00043193877,0.00078633433,0.000103316044,0.0004994017,1.1090802000000001e-08,0.0019253433,0.00025753718,0.032212694605197933,3.0,0,0,0,1,0,,,,0.0,
1,m4.2022-07-17.maze_trial1,1.0,4.758561111111111,0.0,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.1,0.43333333333333335,0.16666666666666666,0.06666666666666667,0.23333333333333334,0.0,0.03333333333333333,0.0,0.16666666666666666,0.26666666666666666,0.1,0.03333333333333333,0.1,0.0,0.0,0.13333333333333333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.16666666666666666,1.8602614204812782,0.5408381097900611,7.709355326804797,0.5564999999999999,1.226205917496992,0.3476527578001413,199.08713114729932,0.000490187,0.00047823598,0.9628150000000001,0.00043193877,0.00078633433,0.000103316044,0.0004994017,1.1090802e-08,0.0019253433,0.00025753718,0.032212694605197933,1.0,0,1,0,0,0,,0.0,,,
2,m4.2022-07-17.maze_trial1,2.0,5.25591626984127,0.0,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.0,0.03571428571428571,1.0,0.35714285714285715,0.07142857142857142,0.32142857142857145,0.0,0.14285714285714285,0.0,0.14285714285714285,0.39285714285714285,0.03571428571428571,0.0,0.07142857142857142,0.03571428571428571,0.0,0.07142857142857142,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.10714285714285714,0.10714285714285714,0.25,0.6428571428571429,0.25,0.10714285714285714,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.32142857142857145,0.0,0.0,0.03571428571428571,1.9540828490527065,0.5465514716461598,7.623033898233369,0.6173214285714285,1.2273688396479094,0.25528916024660225,198.17708484883184,0.000490187,0.00047823598,0.962815,0.00043193877,0.00078633433,0.000103316044,0.0004994017,1.1090802e-08,0.0019253433,0.00025753718,0.032212694605197933,3.0,0,0,0,1,0,,,,0.0201785714285716,
3,m4.2022-07-17.maze_trial1,3.0,5.765266283524905,0.0,0.0,0.1724137931034483,0.034482758620689655,0.0,0.20689655172413793,0.6206896551724138,0.2413793103448276,0.13793103448275862,0.13793103448275862,0.0,0.06896551724137931,0.0,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.20689655172413793,0.06896551724137931,0.0,0.0,0.13793103448275862,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.10344827586206896,0.13793103448275862,0.20689655172413793,0.13793103448275862,0.06896551724137931,0.0,0.0,0.7241379310344828,0.0,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.20689655172413793,0.06896551724137931,0.27586206896551724,0.06896551724137931,0.034482758620689655,0.13793103448275862,0.2413793103448276,0.034482758620689655,0.27586206896551724,0.0,0.034482758620689655,0.06896551724137931,2.0055545239295536,0.555308546440678,7.602855326804797,0.6687931034482757,1.225535637014023,0.18789775472083467,213.8208164064766,0.0001308561931034483,0.0001329900575172414,0.03331595056275862,0.00012958674172413792,0.0001465635368965517,0.00012117371117241379,0.0001361255482758621,0.00010767090271731034,0.000170683428,0.0001249309372413793,0.965483468380593,3.0,0,0,0,1,0,,,,0.0201785714285716,
4,m4.2022-07-17.maze_trial1,4.0,6.263299233716475,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.0,0.13793103448275862,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,0.0,0.0,0.0,0.10344827586206896,0.034482758620689655,0.0,0.0,0.034482758620689655,0.06896551724137931,0.1724137931034483,0.1724137931034483,0.0,0.06896551724137931,0.10344827586206896,0.0,0.3448275862068966,0.0,0.0,0.034482758620689655,2.030209696343347,0.5620018287023518,7.602855326804797,0.6934482758620688,1.2252801820627512,0.17847290565323187,208.00661015995794,0.00011802295,0.000120659846,0.00011955593999999999,0.000118788455,0.00012371458,0.000121811485,0.0001231514,0.000111515896,0.000108017004,0.000120195,0.9988145674439999,4.0,0,0,0,0,1,,,,,0.0
5,m4.2022-07-17.maze_trial1,5.0,6.767083141762452,0.0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.13793103448275862,0.0,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.13793103448275862,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.13793103448275862,0.06896551724137931,0.1724137931034483,0.1724137931034483,0.10344827586206896,0.13793103448275862,0.0,0.06896551724137931,0.0,2.056761420481278,0.5692099788303082,7.602855326804797,0.7199999999999999,1.2261623635095524,0.16483400826287245,199.8229762955101,0.00011802295,0.000120659846,0.00011955593999999999,0.000118788455,0.00012371458,0.000121811485,0.0001231514,0.000111515896,0.000108017004,0.000120195,0.9988145674439999,4.0,0,0,0,0,1,,,,,0.0
6,m4.2022-07-17.maze_trial1,6.0,7.26224061302682,0.0,0.034482758620689655,0.0,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.0,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.13793103448275862,0.06896551724137931,0.0,0.10344827586206896,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.10344827586206896,0.06896551724137931,0.0,0.4482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,2.056761420481278,0.5692099788303082,7.602855326804797,0.7199999999999999,1.2288710165061572,0.16011276747986267,201.69784193174806,0.00011802295,0.000120659846,0.00011955593999999999,0.000118788455,0.00012371458,0.000121811485,0.0001231514,0.000111515896,0.000108017004,0.000120195,0.9988145674439999,4.0,0,0,0,0,1,,,,,0.0
7,m4.2022-07-17.maze_trial1,7.0,7.760566797002281,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.0,0.26666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.1,0.0,0.2,0.0,0.03333333333333333,0.03333333333333333,2.056761420481278,0.5692099788303082,7.602855326804797,0.7199999999999999,1.2282070686505786,0.16295853388353654,212.93982534740607,0.00011802295,0.000120659846,0.00011955594,0.000118788455,0.00012371458,0.00012181148499999999,0.0001231514,0.000111515896,0.000108017004,0.000120195,0.998814567444,4.0,0,0,0,0,1,,,,,0.0
8,m4.2022-07-17.maze_trial1,8.0,8.261127565982404,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.23333333333333334,0.0,0.03333333333333333,0.0,0.03333333333333333,0.1,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.1,0.1,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.13333333333333333,0.0,0.0,0.4,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.1,0.1,0.13333333333333333,0.23333333333333334,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.4,0.0,0.0,0.03333333333333333,2.051261420481278,0.5677168620180886,7.602855326804797,0.7144999999999998,1.2255838254628095,0.16535148327255936,233.14008456206432,0.00011802295,0.000120659846,0.00011955594,0.000118788455,0.00012371458,0.00012181148499999999,0.0001231514,0.000111515896,0.000108017004,0.000120195,0.998814567444,4.0,0,0,0,0,1,,,,,0.0
