,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m4.2022-07-10.maze_cluster0,m4.2022-07-10.maze_cluster1,m4.2022-07-10.maze_cluster2,m4.2022-07-10.maze_cluster3,m4.2022-07-10.maze_cluster4,m4.2022-07-10.maze_cluster5,m4.2022-07-10.maze_cluster6,m4.2022-07-10.maze_cluster7,m4.2022-07-10.maze_cluster8,m4.2022-07-10.maze_cluster9,m4.2022-07-10.maze_cluster10,m4.2022-07-10.maze_cluster11,m4.2022-07-10.maze_cluster12,m4.2022-07-10.maze_cluster13,m4.2022-07-10.maze_cluster14,m4.2022-07-10.maze_cluster15,m4.2022-07-10.maze_cluster16,m4.2022-07-10.maze_cluster17,m4.2022-07-10.maze_cluster18,m4.2022-07-10.maze_cluster19,m4.2022-07-10.maze_cluster20,m4.2022-07-10.maze_cluster21,m4.2022-07-10.maze_cluster22,m4.2022-07-10.maze_cluster23,m4.2022-07-10.maze_cluster24,m4.2022-07-10.maze_cluster25,m4.2022-07-10.maze_cluster26,m4.2022-07-10.maze_cluster27,m4.2022-07-10.maze_cluster28,m4.2022-07-10.maze_cluster29,m4.2022-07-10.maze_cluster30,m4.2022-07-10.maze_cluster31,m4.2022-07-10.maze_cluster32,m4.2022-07-10.maze_cluster33,m4.2022-07-10.maze_cluster34,m4.2022-07-10.maze_cluster35,m4.2022-07-10.maze_cluster36,m4.2022-07-10.maze_cluster37,m4.2022-07-10.maze_cluster39,m4.2022-07-10.maze_cluster40,m4.2022-07-10.maze_cluster41,m4.2022-07-10.maze_cluster42,m4.2022-07-10.maze_cluster43,m4.2022-07-10.maze_cluster44,m4.2022-07-10.maze_cluster45,m4.2022-07-10.maze_cluster46,m4.2022-07-10.maze_cluster47,m4.2022-07-10.maze_cluster48,m4.2022-07-10.maze_cluster49,m4.2022-07-10.maze_cluster50,m4.2022-07-10.maze_cluster51,m4.2022-07-10.maze_cluster52,m4.2022-07-10.maze_cluster53,m4.2022-07-10.maze_cluster54,m4.2022-07-10.maze_cluster55,m4.2022-07-10.maze_cluster56,m4.2022-07-10.maze_cluster57,m4.2022-07-10.maze_cluster58,m4.2022-07-10.maze_cluster59,m4.2022-07-10.maze_cluster60,m4.2022-07-10.maze_cluster61,m4.2022-07-10.maze_cluster62,m4.2022-07-10.maze_cluster63,m4.2022-07-10.maze_cluster64,m4.2022-07-10.maze_cluster65,m4.2022-07-10.maze_cluster66,m4.2022-07-10.maze_cluster67,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m4.2022-07-10.maze_trial1,0.0,8.270787234042553,0.0,0.06451612903225806,0.0967741935483871,0.0,0.12903225806451613,0.0,0.16129032258064516,0.16129032258064516,0.03225806451612903,0.12903225806451613,0.0967741935483871,0.0,0.12903225806451613,0.03225806451612903,0.22580645161290322,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.3548387096774194,0.0,0.0,0.0,0.0,0.16129032258064516,0.0967741935483871,0.7096774193548387,0.0,0.06451612903225806,0.0,0.1935483870967742,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.06451612903225806,0.0967741935483871,0.5483870967741935,0.06451612903225806,0.22580645161290322,0.0,0.0,0.0967741935483871,0.0,0.3870967741935484,0.03225806451612903,0.12903225806451613,0.0,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.0967741935483871,0.06451612903225806,0.22580645161290322,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.06451612903225806,0.0,0.0,0.0967741935483871,0.03225806451612903,0.0,0.6646341488871376,0.349390356259661,8.26886447582032,0.36,0.17773484636322054,1.2198144332405318,76.18316070029344,0.635844,4.410037e-09,0.31887195,0.002989116,0.00023103526,0.00093436486,0.01630536,0.0010017022,0.0014927769,0.0019796432,0.020350047169963026,2.0,0,0,1,0,0,,,0.24296134836266958,,
1,m4.2022-07-10.maze_trial1,1.0,8.778582790303801,0.0,0.4,0.5666666666666667,0.0,0.23333333333333334,0.13333333333333333,0.26666666666666666,0.5,0.36666666666666664,0.16666666666666666,0.13333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.3,0.1,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.13333333333333333,0.0,0.23333333333333334,0.6333333333333333,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.4,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.1,0.06666666666666667,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.3,0.0,0.03333333333333333,0.6445473769073061,0.36181010036679456,8.24854189517516,0.3838333333333334,0.15764304056148376,1.2030263773822887,112.45632632952335,0.635844,4.410037e-09,0.31887195,0.002989116,0.00023103526,0.00093436486,0.01630536,0.0010017022,0.0014927769,0.0019796432,0.020350047169963026,2.0,0,0,1,0,0,,,0.24296134836266958,,
2,m4.2022-07-10.maze_trial1,2.0,9.277658208955224,0.0,0.43333333333333335,0.4,0.0,0.2,0.5333333333333333,0.2,0.3,0.13333333333333333,0.0,0.23333333333333334,0.0,0.0,0.13333333333333333,0.1,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.26666666666666666,0.1,0.0,0.0,0.06666666666666667,0.03333333333333333,0.5,0.4,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.16666666666666666,0.0,0.0,0.03333333333333333,0.03333333333333333,0.1,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.1,0.03333333333333333,0.7666666666666667,0.0,0.03333333333333333,0.0,0.1,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.03333333333333333,0.0,0.0,0.03333333333333333,0.3,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.3,0.0,0.03333333333333333,0.5667140435739727,0.3748279472626343,8.232208561841826,0.4616666666666667,0.14034317828828338,1.1292758664740679,172.6713410329567,0.635844,4.410037e-09,0.31887195,0.002989116,0.00023103526,0.00093436486,0.01630536,0.0010017022,0.0014927769,0.0019796432,0.020350047169963026,2.0,0,0,1,0,0,,,0.24296134836266958,,
3,m4.2022-07-10.maze_trial1,3.0,9.776732835820896,0.0,0.3333333333333333,0.26666666666666666,0.0,0.1,0.6,0.16666666666666666,0.23333333333333334,0.1,0.16666666666666666,0.2,0.0,0.1,0.1,0.03333333333333333,0.1,0.06666666666666667,0.0,0.23333333333333334,0.03333333333333333,0.0,0.0,0.03333333333333333,0.2,0.43333333333333335,0.4,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.2,0.03333333333333333,0.0,0.0,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.03333333333333333,0.3333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.03333333333333333,0.1,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.36666666666666664,0.0,0.0,0.5177140435739728,0.4079353368004919,8.124228978696655,0.5375375661240694,0.13484021562042345,1.0603740168419735,181.9740947018922,0.635844,4.410037e-09,0.31887195,0.002989116,0.00023103526,0.00093436486,0.01630536,0.0010017022,0.0014927769,0.0019796432,0.020350047169963026,2.0,0,0,1,0,0,,,0.24296134836266958,,
4,m4.2022-07-10.maze_trial1,4.0,10.275807462686569,0.0,0.13333333333333333,0.03333333333333333,0.0,0.1,0.03333333333333333,0.1,0.26666666666666666,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.03333333333333333,0.0,0.5333333333333333,0.3,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.1,0.0,0.0,0.06666666666666667,0.06666666666666667,0.5666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.1,0.0,0.13333333333333333,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0,0.1,0.13333333333333333,0.1,0.13333333333333333,0.0,0.0,0.36666666666666664,0.0,0.03333333333333333,0.5432377320276258,0.4449922724111243,8.025903127457651,0.6206666666666667,0.13602460022118587,0.971263569056187,173.84845255146254,0.635844,4.410037e-09,0.31887195,0.002989116,0.00023103526,0.00093436486,0.01630536,0.0010017022,0.0014927769,0.0019796432,0.020350047169963026,2.0,0,0,1,0,0,,,0.24296134836266958,,
5,m4.2022-07-10.maze_trial1,5.0,10.77488208955224,0.0,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.2,0.06666666666666667,0.1,0.0,0.0,0.1,0.0,0.1,0.16666666666666666,0.1,0.0,0.13333333333333333,0.1,0.03333333333333333,0.0,0.1,0.03333333333333333,0.6,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,0.03333333333333333,0.1,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.0,0.2,0.0,0.1,0.03333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.36666666666666664,0.0,0.0,0.6307107438649698,0.5018572943767414,7.889903127457653,0.709,0.13913450609277794,0.8929477498744602,176.55194767171102,0.65798753,1.0730251e-08,0.0019560715,0.18264277,0.070305474,0.00023362107,2.1711841e-09,0.00019954174000000002,0.00020524813,0.07333024,0.01313949065856479,3.0,0,0,0,1,0,,,,0.018333333333334423,
6,m4.2022-07-10.maze_trial1,6.0,11.27395671641791,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.1,0.0,0.0,0.03333333333333333,0.0,0.1,0.06666666666666667,0.13333333333333333,0.0,0.1,0.1,0.0,0.0,0.03333333333333333,0.13333333333333333,0.7666666666666667,0.16666666666666666,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.1,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.3,0.0,0.43333333333333335,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.2,0.1,0.03333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.1,0.0,0.1,0.6389043986942925,0.5066311928062628,7.871569794124318,0.7163333333333333,0.14312434271954635,0.8952825751054126,166.30664668763274,0.65798753,1.0730251e-08,0.0019560715,0.18264277,0.070305474,0.00023362107,2.1711841e-09,0.00019954174000000002,0.00020524813,0.07333024,0.01313949065856479,3.0,0,0,0,1,0,,,,0.018333333333334423,
7,m4.2022-07-10.maze_trial1,7.0,11.773031343283582,0.0,0.0,0.23333333333333334,0.0,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.1,0.1,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.5666666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,0.1,0.13333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1,0.03333333333333333,0.0,0.13333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.13333333333333333,0.1,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.13333333333333333,0.0,0.03333333333333333,0.6407377320276259,0.5078740376302885,7.871569794124318,0.7181666666666666,0.1432796096978696,0.895928633569313,165.66985386997376,0.65798753,1.0730251e-08,0.0019560715,0.18264277,0.070305474,0.00023362107,2.1711841e-09,0.00019954174000000002,0.00020524813,0.07333024,0.01313949065856479,3.0,0,0,0,1,0,,,,0.018333333333334423,
8,m4.2022-07-10.maze_trial1,8.0,12.272105970149255,0.0,0.03333333333333333,0.03333333333333333,0.0,0.16666666666666666,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.1,0.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.06666666666666667,0.0,0.0,0.13333333333333333,0.03333333333333333,0.4666666666666667,0.23333333333333334,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.06666666666666667,0.1,0.0,0.0,0.1,0.16666666666666666,0.1,0.1,0.0,0.06666666666666667,0.0,0.1,0.16666666666666666,0.0,0.03333333333333333,0.1,0.0,0.0,0.0,0.06666666666666667,0.1,0.03333333333333333,0.1,0.0,0.0,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.1,0.0,0.1,0.6334043986942925,0.5029026583341857,7.871569794124318,0.7108333333333333,0.14140965343790549,0.8963568818164948,169.62412486465442,0.65798753,1.0730251e-08,0.0019560715,0.18264277,0.070305474,0.00023362107,2.1711841e-09,0.00019954174000000002,0.00020524813,0.07333024,0.01313949065856479,3.0,0,0,0,1,0,,,,0.018333333333334423,
