,trial_unique_ID,spk_bin,time,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,spike_count,distance_to_goal,distance_to_goal,distance_to_goal,distance_to_goal,centroid_position,centroid_position,head_direction,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,route_probability,cluster,cluster,cluster,cluster,cluster,cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster,fr_distance_for_cluster
,,,,m7.2022-07-01.maze_cluster0,m7.2022-07-01.maze_cluster1,m7.2022-07-01.maze_cluster2,m7.2022-07-01.maze_cluster3,m7.2022-07-01.maze_cluster4,m7.2022-07-01.maze_cluster5,m7.2022-07-01.maze_cluster6,m7.2022-07-01.maze_cluster7,m7.2022-07-01.maze_cluster8,m7.2022-07-01.maze_cluster9,m7.2022-07-01.maze_cluster10,m7.2022-07-01.maze_cluster12,m7.2022-07-01.maze_cluster13,m7.2022-07-01.maze_cluster14,m7.2022-07-01.maze_cluster15,m7.2022-07-01.maze_cluster16,m7.2022-07-01.maze_cluster17,m7.2022-07-01.maze_cluster19,m7.2022-07-01.maze_cluster20,m7.2022-07-01.maze_cluster21,m7.2022-07-01.maze_cluster22,m7.2022-07-01.maze_cluster23,m7.2022-07-01.maze_cluster24,m7.2022-07-01.maze_cluster25,m7.2022-07-01.maze_cluster26,m7.2022-07-01.maze_cluster27,m7.2022-07-01.maze_cluster28,m7.2022-07-01.maze_cluster29,m7.2022-07-01.maze_cluster30,m7.2022-07-01.maze_cluster31,m7.2022-07-01.maze_cluster32,m7.2022-07-01.maze_cluster33,m7.2022-07-01.maze_cluster34,m7.2022-07-01.maze_cluster35,m7.2022-07-01.maze_cluster36,m7.2022-07-01.maze_cluster37,m7.2022-07-01.maze_cluster38,m7.2022-07-01.maze_cluster39,m7.2022-07-01.maze_cluster40,m7.2022-07-01.maze_cluster41,m7.2022-07-01.maze_cluster42,m7.2022-07-01.maze_cluster43,m7.2022-07-01.maze_cluster44,m7.2022-07-01.maze_cluster45,m7.2022-07-01.maze_cluster46,m7.2022-07-01.maze_cluster47,m7.2022-07-01.maze_cluster48,m7.2022-07-01.maze_cluster49,m7.2022-07-01.maze_cluster50,m7.2022-07-01.maze_cluster51,m7.2022-07-01.maze_cluster52,m7.2022-07-01.maze_cluster53,m7.2022-07-01.maze_cluster54,m7.2022-07-01.maze_cluster55,m7.2022-07-01.maze_cluster56,m7.2022-07-01.maze_cluster57,m7.2022-07-01.maze_cluster58,m7.2022-07-01.maze_cluster59,m7.2022-07-01.maze_cluster60,m7.2022-07-01.maze_cluster61,m7.2022-07-01.maze_cluster62,m7.2022-07-01.maze_cluster63,m7.2022-07-01.maze_cluster64,m7.2022-07-01.maze_cluster65,m7.2022-07-01.maze_cluster66,m7.2022-07-01.maze_cluster67,m7.2022-07-01.maze_cluster68,m7.2022-07-01.maze_cluster69,m7.2022-07-01.maze_cluster70,m7.2022-07-01.maze_cluster71,m7.2022-07-01.maze_cluster72,m7.2022-07-01.maze_cluster73,m7.2022-07-01.maze_cluster74,m7.2022-07-01.maze_cluster75,m7.2022-07-01.maze_cluster76,m7.2022-07-01.maze_cluster77,m7.2022-07-01.maze_cluster78,m7.2022-07-01.maze_cluster79,m7.2022-07-01.maze_cluster80,m7.2022-07-01.maze_cluster81,m7.2022-07-01.maze_cluster82,m7.2022-07-01.maze_cluster83,m7.2022-07-01.maze_cluster84,m7.2022-07-01.maze_cluster85,m7.2022-07-01.maze_cluster86,m7.2022-07-01.maze_cluster87,m7.2022-07-01.maze_cluster88,m7.2022-07-01.maze_cluster89,m7.2022-07-01.maze_cluster90,m7.2022-07-01.maze_cluster91,m7.2022-07-01.maze_cluster92,m7.2022-07-01.maze_cluster93,m7.2022-07-01.maze_cluster94,m7.2022-07-01.maze_cluster95,m7.2022-07-01.maze_cluster96,m7.2022-07-01.maze_cluster97,m7.2022-07-01.maze_cluster98,m7.2022-07-01.maze_cluster99,m7.2022-07-01.maze_cluster100,m7.2022-07-01.maze_cluster101,m7.2022-07-01.maze_cluster102,m7.2022-07-01.maze_cluster103,m7.2022-07-01.maze_cluster104,m7.2022-07-01.maze_cluster105,geodesic,euclidean,future,manhattan,x,y,value,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9,non_route,cluster_label,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
0,m7.2022-07-01.maze_trial1,0.0,8.257733108108107,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.36666666666666664,0.0,0.0,0.1,0.0,0.0,0.0,1.7333333333333334,0.1,0.0,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.13333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,0.2,0.13333333333333333,0.0,0.2,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.6,0.3,1.1666666666666667,0.06666666666666667,0.0,0.0,0.2,0.1,0.13333333333333333,0.43333333333333335,0.23333333333333334,0.0,0.16666666666666666,0.0,0.1,0.4,0.0,0.13333333333333333,0.16666666666666666,0.1,0.23333333333333334,0.4,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.6666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,0.26666666666666666,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.2,0.0,0.13333333333333333,0.3360236884536531,0.25594033326332916,0.34716666666666657,0.3618333333333335,1.2378328600211115,0.5310082637902037,190.8739797338171,0.28166407,0.0020574986,0.00072696287,0.001702645,0.19337352,0.44722784,1.7180081e-10,0.0017542249,0.0018470223,0.0013293144,0.06831690175819927,1.0,0,1,0,0,0,,0.0,,,
1,m7.2022-07-01.maze_trial1,1.0,8.758070945945946,0.0,0.0,0.0,0.16666666666666666,0.23333333333333334,0.0,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.3666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.03333333333333333,0.0,0.5666666666666667,0.3,0.06666666666666667,0.1,0.16666666666666666,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.3333333333333333,1.3,0.0,0.0,0.03333333333333333,0.0,0.0,0.23333333333333334,0.16666666666666666,0.06666666666666667,0.0,0.2,0.0,0.3333333333333333,0.36666666666666664,0.03333333333333333,0.1,0.0,0.03333333333333333,0.7,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.03333333333333333,0.0,0.4,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1,0.0,0.4,0.03333333333333333,0.03333333333333333,0.2,0.0,0.0,0.3213570217869864,0.2464970342715836,0.30499999999999994,0.3471666666666669,1.229538815612584,0.5031454132846472,196.68000017555988,0.28166407,0.0020574986,0.00072696287,0.001702645,0.19337352,0.44722784,1.7180081e-10,0.0017542249,0.0018470223,0.0013293144,0.06831690175819927,2.0,0,0,1,0,0,,,0.22083333333333327,,
2,m7.2022-07-01.maze_trial1,2.0,9.258408783783784,0.0,0.0,0.0,0.06666666666666667,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,2.3666666666666667,0.1,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.1,0.03333333333333333,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.6333333333333333,0.23333333333333334,0.2,0.3333333333333333,0.1,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.5,0.2,0.8333333333333334,0.1,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.0,0.26666666666666666,0.1,0.0,0.03333333333333333,0.0,0.5,0.2,0.2,0.03333333333333333,0.0,0.0,0.26666666666666666,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.13333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.43333333333333335,0.0,0.0,0.03333333333333333,0.2,0.0,0.1,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.1,0.0,0.13333333333333333,0.24302368845365308,0.20243480288583351,0.2688333333333333,0.2688333333333335,1.2333202732507926,0.4185154493629873,197.30739606470544,0.28166407,0.0020574986,0.00072696287,0.001702645,0.19337352,0.44722784,1.7180081e-10,0.0017542249,0.0018470223,0.0013293144,0.06831690175819927,2.0,0,0,1,0,0,,,0.22083333333333327,,
3,m7.2022-07-01.maze_trial1,3.0,9.75874662162162,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,2.2,0.06666666666666667,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.8333333333333334,0.2,0.03333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.1,0.2,0.3,0.8333333333333334,0.03333333333333333,0.1,0.0,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.4,0.2,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.1,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.4,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.03333333333333333,0.0,0.26666666666666666,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.18389204734937598,0.18109537363295844,0.18733333333333332,0.1873333333333335,1.2306182619726118,0.34738388202917736,203.73836649819904,0.28166407,0.0020574986,0.00072696287,0.001702645,0.19337352,0.44722784,1.7180081e-10,0.0017542249,0.0018470223,0.0013293144,0.06831690175819927,2.0,0,0,1,0,0,,,0.22083333333333327,,
4,m7.2022-07-01.maze_trial1,4.0,10.258948916751804,0.0,0.0,0.0,0.06666666666666667,0.16666666666666666,0.0,0.03333333333333333,0.1,0.16666666666666666,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.033333333333333,0.1,0.0,0.16666666666666666,0.03333333333333333,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.16666666666666666,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.4,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.26666666666666666,0.1,0.13333333333333333,0.6666666666666666,0.1,0.23333333333333334,0.0,0.0,0.1,0.23333333333333334,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.6,0.36666666666666664,0.43333333333333335,0.0,0.0,0.0,0.36666666666666664,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.26666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.16666666666666666,0.0,0.03333333333333333,0.0,0.43333333333333335,0.0,0.0,0.1,0.0,0.0,0.16716666666666666,0.1671666666666668,0.16716666666666666,0.1671666666666668,1.2143567233962207,0.33334130112619664,230.14341944108116,0.28166407,0.0020574986,0.00072696287,0.001702645,0.19337352,0.44722784,1.7180081e-10,0.0017542249,0.0018470223,0.0013293144,0.06831690175819927,2.0,0,0,1,0,0,,,0.22083333333333327,,
5,m7.2022-07-01.maze_trial1,5.0,10.758819587628865,0.0,0.0,0.0,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.433333333333333,0.36666666666666664,0.0,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.4666666666666667,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.5666666666666667,0.1,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.16666666666666666,0.1,0.3333333333333333,0.3,0.1,0.23333333333333334,0.0,0.0,0.06666666666666667,0.36666666666666664,0.03333333333333333,0.0,0.0,0.0,0.0,0.8,0.13333333333333333,0.23333333333333334,0.0,0.0,0.03333333333333333,0.6,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.7,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.36666666666666664,0.0,0.06666666666666667,0.13333333333333333,0.0,0.1,0.08416666666666667,0.08416666666666676,0.08416666666666667,0.08416666666666676,1.1312359688736746,0.326373280447125,274.90569733130855,0.28166407,0.0020574986,0.00072696287,0.001702645,0.19337352,0.44722784,1.7180081e-10,0.0017542249,0.0018470223,0.0013293143999999998,0.06831690175819927,2.0,0,0,1,0,0,,,0.22083333333333327,,
6,m7.2022-07-01.maze_trial1,6.0,11.2170206185567,0.0,0.04,0.0,0.08,0.16,0.0,0.0,0.0,0.04,0.2,0.0,0.08,0.0,0.0,0.0,0.08,1.6,0.32,0.0,0.64,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.64,0.28,0.0,0.0,0.0,0.04,0.0,0.32,0.08,0.0,0.08,0.2,0.0,0.0,0.0,0.04,0.32,0.24,0.44,0.28,0.16,0.2,0.0,0.0,0.16,0.92,0.0,0.08,0.04,0.0,0.0,1.08,0.2,0.08,0.0,0.0,0.04,1.2,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.0,0.0,0.2,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.24,0.0132,0.013200000000000038,0.0132,0.013200000000000038,1.0694298623054375,0.3324047696531018,284.7546552380268,,,,,,,,,,,,4.0,0,0,0,0,1,,,,,0.0
7,m7.2022-07-01.maze_trial10,1104.0,560.43575,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.1,0.1,0.8,0.6,1.5,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.5,0.0,0.7,0.0,0.6,0.2,0.0,0.0,0.2,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.2,0.3,0.0,0.2,2.056761420481278,1.049571341072154,4.603752575744722,1.44,0.3257458296482315,0.6983046883666142,181.67564003291494,8.904687e-11,9.1545244e-11,0.0005733328,3.2980505e-09,6.424262e-11,6.6036884e-11,3.0198343e-08,0.9365319,0.002709045,1.149156e-10,0.06018568827781923,1.0,0,1,0,0,0,,0.0,,,
8,m7.2022-07-01.maze_trial10,1105.0,560.7639799568966,0.034482758620689655,0.0,0.0,0.20689655172413793,0.27586206896551724,0.0,0.034482758620689655,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586206896551724,0.034482758620689655,0.0,0.0,0.20689655172413793,0.0,0.0,0.0,0.1724137931034483,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.3103448275862069,0.4482758620689655,0.06896551724137931,0.0,0.3448275862068966,0.06896551724137931,0.0,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.13793103448275862,0.20689655172413793,0.0,0.0,0.0,0.1724137931034483,0.034482758620689655,0.3793103448275862,0.4827586206896552,1.4137931034482758,0.0,0.13793103448275862,0.0,0.10344827586206896,0.06896551724137931,0.41379310344827586,0.13793103448275862,0.4827586206896552,0.034482758620689655,0.7241379310344828,0.0,0.20689655172413793,0.3448275862068966,0.0,0.10344827586206896,0.06896551724137931,0.20689655172413793,0.3793103448275862,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.3793103448275862,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.10344827586206896,0.0,0.4482758620689655,0.034482758620689655,0.0,0.5172413793103449,0.0,0.0,0.0,0.10344827586206896,0.0,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.06896551724137931,0.2413793103448276,0.06896551724137931,0.0,0.0,0.034482758620689655,0.06896551724137931,0.0,0.13793103448275862,2.056761420481278,1.049571341072154,4.603752575744722,1.44,0.32507689088980896,0.6990818284113515,182.32959773959342,8.904687e-11,9.1545244e-11,0.0005733328,3.2980505e-09,6.424262e-11,6.6036884e-11,3.0198343e-08,0.9365319,0.0027090449999999998,1.149156e-10,0.060185688277819234,1.0,0,1,0,0,0,,0.0,,,
